,Time,Length,Sentiment
0,49,140.0,-0.015384615384615385
2,49,106.0,-0.015384615384615385
4,49,115.0,-0.05769230769230768
6,49,27.0,0.0
8,49,140.0,-0.23076923076923078
10,49,140.0,0.028418803418803408
12,50,40.0,0.0
14,50,140.0,0.0
16,50,105.0,-0.23076923076923078
18,50,96.0,0.2346153846153846
20,50,43.0,-0.23076923076923078
22,50,140.0,0.0
24,50,140.0,0.009615384615384609
26,50,140.0,0.07222222222222223
28,50,45.0,-0.23076923076923078
30,50,127.0,0.1846153846153846
32,50,117.0,-0.23076923076923078
34,50,39.0,-0.23076923076923078
36,50,144.0,0.16666666666666666
38,50,17.0,0.0
40,50,72.0,-0.0903846153846154
42,50,140.0,0.009615384615384609
44,50,38.0,0.0
46,50,140.0,0.09375
48,50,99.0,0.051282051282051266
50,50,106.0,-0.015384615384615385
52,50,90.0,-0.047202797202797214
54,50,137.0,0.0
56,50,139.0,0.25
58,50,63.0,0.0
60,50,92.0,-0.23076923076923078
62,50,113.0,-0.11538461538461539
64,50,42.0,-0.23076923076923078
66,50,51.0,-0.05230769230769231
68,50,140.0,0.6666666666666666
70,50,106.0,-0.015384615384615385
72,50,139.0,-0.23076923076923078
74,51,66.0,-0.23076923076923078
76,51,106.0,-0.015384615384615385
78,51,61.0,-0.2153846153846154
80,51,140.0,-0.23076923076923078
82,51,39.0,-0.23076923076923078
84,51,139.0,0.41666666666666663
86,51,53.0,-0.23076923076923078
88,51,107.0,-0.38060897435897434
90,51,140.0,0.0
92,51,97.0,-0.23076923076923078
94,51,4.0,-0.23076923076923078
96,51,71.0,-0.23076923076923078
98,51,140.0,0.0
100,51,108.0,-0.23076923076923078
102,51,140.0,-0.41538461538461535
104,51,140.0,0.5
106,51,45.0,0.5
108,51,4.0,0.0
110,51,39.0,-0.23076923076923078
112,51,84.0,0.5
114,51,54.0,0.2846153846153846
116,51,41.0,-0.23076923076923078
118,51,140.0,0.0
120,51,120.0,-0.2653846153846154
122,51,140.0,0.5
124,51,106.0,-0.015384615384615385
126,51,106.0,-0.23076923076923078
128,51,106.0,-0.2091346153846154
130,51,28.0,-0.23076923076923078
132,51,140.0,0.0
134,51,139.0,0.06318681318681318
136,51,140.0,0.09375
138,51,139.0,0.06318681318681318
140,51,102.0,-0.19871794871794873
142,51,128.0,0.5
144,51,136.0,0.0
146,52,62.0,0.7
148,52,63.0,0.0
150,52,139.0,-0.13525641025641025
152,52,63.0,-0.23076923076923078
154,52,140.0,0.0
156,52,46.0,-0.23076923076923078
158,52,39.0,-1.0
160,52,140.0,0.0
162,52,140.0,-0.23076923076923078
164,52,140.0,0.13636363636363635
166,52,49.0,-0.23076923076923078
168,52,85.0,-0.043589743589743594
170,52,111.0,0.0006410256410256596
172,52,140.0,-0.07692307692307693
174,52,144.0,-0.05769230769230768
176,52,71.0,-0.07692307692307693
178,52,62.0,0.2346153846153846
180,52,26.0,0.1346153846153846
182,52,65.0,-0.23076923076923078
184,52,144.0,-0.05769230769230768
186,52,103.0,0.65
188,52,37.0,0.2346153846153846
190,52,140.0,0.006410256410256406
192,52,140.0,-0.09358974358974359
194,52,80.0,-0.23076923076923078
196,52,60.0,0.1346153846153846
198,52,137.0,0.4166666666666667
200,52,139.0,0.0
202,52,94.0,-0.23076923076923078
204,53,140.0,0.5
206,53,46.0,-0.23076923076923078
208,53,106.0,-0.015384615384615385
210,53,95.0,0.0452991452991453
212,53,139.0,-0.06538461538461539
214,53,140.0,0.009615384615384609
216,53,20.0,-0.23076923076923078
218,53,139.0,-0.06538461538461539
220,53,141.0,-0.23076923076923078
222,53,106.0,-0.015384615384615385
224,53,140.0,0.13636363636363635
226,53,18.0,-0.23076923076923078
228,53,24.0,-0.3653846153846154
230,53,56.0,-0.23076923076923078
232,53,106.0,-0.015384615384615385
234,53,140.0,1.0
236,53,99.0,-0.23076923076923078
238,53,54.0,-0.6153846153846154
240,53,56.0,-0.2091346153846154
242,53,20.0,-0.23076923076923078
244,53,13.0,-0.23076923076923078
246,53,140.0,0.0
248,53,49.0,0.0
250,53,130.0,0.04458041958041957
252,53,17.0,-0.23076923076923078
254,53,106.0,-0.015384615384615385
256,53,81.0,-0.23076923076923078
258,54,70.0,-0.23076923076923078
260,54,70.0,0.3230769230769231
262,54,127.0,0.1346153846153846
264,54,63.0,0.0
266,54,139.0,-0.23076923076923078
268,54,91.0,-0.23076923076923078
270,54,79.0,-0.23076923076923078
272,54,63.0,0.0
274,54,140.0,-0.23076923076923078
276,54,140.0,0.2230769230769231
278,54,81.0,-0.015384615384615385
280,54,87.0,-0.11538461538461539
282,54,88.0,0.11870629370629372
284,54,139.0,0.21105769230769228
286,54,93.0,-0.1083916083916084
288,54,78.0,0.07948717948717947
