,Time,Length,Sentiment
0,61,14.0,0.0
2,61,22.0,0.4
4,61,38.0,-0.15555555555555559
6,61,30.0,0.0
8,61,47.0,0.0
10,61,72.0,0.0
12,61,31.0,0.0
14,61,28.0,0.0
16,61,140.0,0.275
18,61,95.0,0.0
20,61,48.0,0.2
22,61,88.0,0.0
24,61,48.0,0.0
26,61,16.0,0.0
28,61,102.0,0.39166666666666666
30,61,50.0,0.0
32,61,139.0,0.13636363636363635
34,61,40.0,0.0
36,61,48.0,0.0
38,61,140.0,0.25
40,61,7.0,0.0
42,61,41.0,0.0
44,61,49.0,0.0
46,61,70.0,-0.3125
48,61,65.0,0.0
50,61,39.0,0.0
52,61,9.0,0.0
54,61,91.0,0.0
56,61,70.0,1.0
58,61,104.0,0.6000000000000001
60,61,23.0,0.0
62,61,47.0,-0.2
64,61,65.0,0.0
66,61,117.0,0.0
68,61,45.0,0.4000000000000001
70,61,33.0,0.0
72,61,27.0,0.0
74,61,78.0,-0.23076923076923078
76,61,140.0,0.25
78,61,64.0,0.0
80,62,7.0,0.0
82,62,26.0,0.0
84,62,140.0,0.275
86,62,47.0,0.0
88,62,68.0,0.0
90,62,100.0,0.0
92,62,61.0,-0.2
94,62,7.0,0.0
96,62,140.0,0.8
98,62,56.0,0.13636363636363635
100,62,85.0,0.6666666666666666
102,62,18.0,0.0
104,62,133.0,-0.14038461538461539
106,62,50.0,0.0
108,62,140.0,0.25
110,62,7.0,0.0
112,62,39.0,0.0
114,62,41.0,0.0
116,62,31.0,0.3
118,62,63.0,0.0
120,62,49.0,0.0
122,62,35.0,0.35
124,62,7.0,0.0
126,62,140.0,0.0
128,62,140.0,0.3214285714285714
130,62,73.0,0.2
132,62,40.0,0.0
134,62,52.0,0.0
136,62,140.0,0.275
138,62,35.0,0.0
140,62,46.0,-0.4
142,62,61.0,0.0
144,62,140.0,0.3520833333333333
146,62,52.0,0.11818181818181818
148,62,35.0,0.7
150,62,140.0,0.25
152,62,52.0,0.375
154,62,140.0,0.25
156,62,139.0,0.0
158,62,23.0,0.0
160,62,29.0,0.0
162,62,21.0,0.0
164,62,18.0,0.0
166,62,140.0,0.2
168,62,43.0,0.3
170,62,119.0,0.12424242424242422
172,62,50.0,0.7
174,62,99.0,0.30833333333333335
176,62,40.0,0.6000000000000001
178,62,39.0,0.0
180,62,73.0,0.0
182,62,140.0,0.25
184,62,53.0,1.0
186,62,50.0,0.7
188,62,140.0,0.25
190,62,140.0,0.25
192,62,55.0,0.0
194,62,38.0,-0.6999999999999998
196,62,74.0,0.0
198,62,45.0,-0.5
200,62,140.0,0.25
202,62,52.0,0.0
204,62,47.0,0.0
206,62,143.0,-0.5
208,62,99.0,0.4
210,62,44.0,0.375
212,62,34.0,0.5
214,62,24.0,0.0
216,62,41.0,0.7
218,62,84.0,0.05
220,62,39.0,-0.5
222,62,94.0,0.0
224,62,103.0,0.0
226,62,65.0,0.42500000000000004
228,62,37.0,-0.5
230,62,93.0,-0.3153846153846154
232,62,23.0,0.0
234,62,58.0,0.5
236,62,57.0,0.0
238,62,78.0,0.2
240,62,16.0,0.0
242,62,140.0,0.25
244,62,7.0,0.0
246,62,54.0,0.24999999999999997
248,62,56.0,-0.1
250,62,27.0,0.0
252,62,19.0,0.0
254,62,13.0,0.0
256,62,65.0,-0.2
258,62,85.0,0.9
260,62,72.0,0.0
262,62,44.0,-0.5
264,62,120.0,0.0
266,62,73.0,0.0
268,62,36.0,0.3
270,62,72.0,-0.03146853146853148
272,62,30.0,0.0
274,62,75.0,0.0
276,62,66.0,0.25
278,62,125.0,0.06818181818181818
280,62,16.0,0.0
282,62,140.0,0.8
284,62,34.0,0.8
286,62,76.0,0.6000000000000001
288,62,97.0,0.35
290,62,35.0,0.475
292,62,28.0,0.6
294,62,139.0,-0.15625
296,62,48.0,0.8
298,62,94.0,0.225
300,62,27.0,0.0
302,62,125.0,0.06818181818181818
304,62,49.0,0.0
306,62,112.0,0.4
308,62,76.0,0.1
310,62,40.0,0.0
312,62,76.0,0.0
314,62,57.0,0.0
316,62,21.0,0.0
318,62,27.0,-0.23076923076923078
320,62,33.0,0.8
322,62,25.0,0.0
324,62,51.0,0.0
326,62,77.0,0.0
328,62,49.0,0.0
330,62,66.0,0.125
332,62,118.0,-0.33181818181818185
334,62,94.0,1.0
336,62,106.0,-0.05000000000000001
338,62,46.0,0.0
340,62,26.0,0.0
342,62,28.0,0.0
344,62,137.0,0.12424242424242422
346,62,71.0,0.13636363636363635
348,62,67.0,0.0
350,62,11.0,0.0
352,62,50.0,0.0
354,62,88.0,0.0
356,62,62.0,0.0
358,62,83.0,0.0
360,62,29.0,0.6000000000000001
362,62,38.0,0.0
364,62,7.0,0.0
366,62,56.0,0.0
368,62,51.0,0.0
370,62,43.0,0.0
372,62,115.0,0.1
374,62,82.0,0.0
376,62,46.0,0.0
378,62,70.0,0.16666666666666666
380,62,7.0,0.0
382,62,61.0,0.48666666666666664
384,62,140.0,0.0
386,62,27.0,0.3
388,62,107.0,0.3181818181818182
390,62,52.0,0.1346153846153846
392,62,112.0,-0.07615384615384616
394,62,81.0,0.0
396,62,46.0,0.13636363636363635
398,62,28.0,0.0
400,62,26.0,0.0
402,62,78.0,0.0
404,62,127.0,0.5
406,62,95.0,0.25
408,62,35.0,0.1346153846153846
410,62,25.0,-0.8
412,62,72.0,0.16666666666666666
414,62,11.0,0.0
416,62,38.0,0.13636363636363635
418,62,73.0,0.0
420,62,40.0,0.0
422,62,47.0,0.0
424,62,54.0,0.3
426,62,49.0,0.0
428,62,49.0,0.0
430,62,26.0,0.0
432,62,109.0,0.3181818181818182
434,62,7.0,0.0
436,62,128.0,0.0
438,62,7.0,0.0
440,62,54.0,0.0
442,62,44.0,0.0
444,62,65.0,0.425
446,62,52.0,0.0
448,62,20.0,0.0
450,62,36.0,0.2857142857142857
452,62,39.0,0.0
454,62,140.0,0.25
456,62,80.0,0.0
458,62,25.0,0.0
460,62,86.0,0.6
462,62,31.0,0.13636363636363635
464,62,60.0,0.1
466,62,67.0,0.2
468,62,48.0,0.0
470,62,62.0,0.1
472,62,75.0,0.0909090909090909
474,62,32.0,0.0
476,62,64.0,0.0
478,62,41.0,0.0
480,62,47.0,0.0
482,62,70.0,-0.2
484,62,77.0,0.06818181818181818
486,62,39.0,0.0
488,62,140.0,0.25
490,62,88.0,0.0
492,62,39.0,0.0
494,62,52.0,0.45
496,62,35.0,0.0
498,62,67.0,0.0
500,62,45.0,0.0
502,62,69.0,0.1346153846153846
504,62,16.0,0.0
506,62,37.0,0.4000000000000001
508,62,54.0,0.13636363636363635
510,62,89.0,0.0
512,62,108.0,0.3181818181818182
514,62,57.0,0.06818181818181818
516,62,67.0,0.0
518,62,56.0,0.0
520,62,41.0,0.0
522,62,79.0,0.0
524,62,32.0,0.8
526,62,21.0,0.0
528,62,117.0,-0.25
530,62,14.0,0.0
532,62,85.0,0.0
534,62,78.0,0.0
536,63,112.0,0.4
538,63,70.0,1.0
540,63,4.0,0.0
542,63,75.0,0.13636363636363635
544,63,42.0,0.0
546,63,31.0,0.0
548,63,140.0,0.25
550,63,57.0,0.0
552,63,59.0,0.0
554,63,49.0,0.8
556,63,78.0,0.13636363636363635
558,63,56.0,0.0
560,63,41.0,0.1346153846153846
562,63,31.0,0.6
564,63,34.0,0.0
566,63,17.0,0.0
568,63,112.0,0.4
570,63,106.0,0.5
572,63,122.0,0.0
574,63,42.0,0.5
576,63,71.0,0.0
578,63,29.0,0.13636363636363635
580,63,51.0,0.0
582,63,79.0,0.0
584,63,52.0,0.0
586,63,106.0,0.12307692307692308
588,63,53.0,0.0
590,63,45.0,0.0
592,63,57.0,0.1
594,63,7.0,0.0
596,63,61.0,0.0
598,63,52.0,-0.23076923076923078
600,63,39.0,0.7
602,63,14.0,0.0
604,63,61.0,0.2
606,63,55.0,0.8
608,63,9.0,0.0
610,63,102.0,0.1346153846153846
612,63,139.0,-0.5
614,63,50.0,0.7
616,63,65.0,-0.2
618,63,140.0,0.0037878787878787845
620,63,35.0,0.0
622,63,140.0,0.0
624,63,72.0,-0.09848484848484848
626,63,127.0,0.0
628,63,11.0,0.2
630,63,62.0,0.13636363636363635
632,63,65.0,0.3
634,63,87.0,0.4121212121212121
636,63,37.0,1.0
638,63,34.0,0.13636363636363635
640,63,18.0,0.0
642,63,20.0,0.0
644,63,50.0,0.7
646,63,63.0,0.0
648,63,74.0,0.0
650,63,46.0,0.0
652,63,140.0,0.0
654,63,20.0,0.0
656,63,49.0,0.1346153846153846
658,63,41.0,0.0
660,63,28.0,0.0
662,63,51.0,0.0
664,63,110.0,0.0
666,63,65.0,0.375
668,63,59.0,0.0
670,63,140.0,0.029166666666666646
672,63,137.0,0.0
674,63,66.0,0.16666666666666666
676,63,91.0,0.33333333333333337
678,63,13.0,0.1
680,63,9.0,0.0
682,63,140.0,0.0
684,63,17.0,0.0
686,63,82.0,0.275
688,63,91.0,0.0
690,63,91.0,0.8
692,63,62.0,0.0
694,63,65.0,0.0
696,63,65.0,0.6000000000000001
698,63,30.0,0.13636363636363635
700,63,47.0,0.0
702,63,81.0,-0.07692307692307693
704,63,84.0,0.0
706,63,39.0,0.0
708,63,41.0,0.0
710,63,136.0,0.0
712,63,92.0,0.11818181818181818
714,63,67.0,0.0
716,63,49.0,0.0
718,63,37.0,0.0
720,63,57.0,0.0
722,63,41.0,0.1
724,63,35.0,0.0
726,63,92.0,0.0
728,63,131.0,0.3840909090909091
730,63,34.0,0.65
732,63,121.0,0.1346153846153846
734,63,53.0,0.5
736,63,26.0,0.0
738,63,136.0,0.0
740,63,121.0,0.1346153846153846
742,63,136.0,0.0
744,63,144.0,-0.047202797202797214
746,63,77.0,0.5
748,63,7.0,0.0
750,63,56.0,-0.4318181818181818
752,63,85.0,0.7
754,63,112.0,0.4
756,63,65.0,0.13636363636363635
758,63,81.0,0.5
760,63,67.0,0.0
762,63,136.0,0.0
764,63,67.0,0.3
766,63,48.0,0.0
768,63,91.0,0.0
770,63,140.0,0.0
772,63,61.0,0.175
774,63,112.0,0.8
776,63,51.0,0.0
778,63,136.0,0.0
780,63,62.0,0.016666666666666677
782,63,136.0,0.0
784,63,136.0,0.0
786,63,136.0,0.0
788,63,47.0,-0.6
790,63,93.0,0.0
792,63,50.0,0.7
794,63,60.0,0.0
796,63,56.0,0.8
798,63,50.0,0.0
800,63,76.0,0.22424242424242424
802,63,3.0,0.0
804,63,46.0,0.13636363636363635
806,63,73.0,0.13636363636363635
808,63,44.0,0.0
810,63,81.0,-0.2916666666666667
812,63,140.0,0.25
814,63,73.0,0.7
816,63,140.0,0.0
818,63,136.0,0.0
820,63,28.0,0.13636363636363635
822,63,34.0,0.7
824,63,98.0,0.2
826,63,75.0,0.08974358974358974
828,63,57.0,0.13636363636363635
830,63,136.0,0.0
832,63,75.0,0.13636363636363635
834,63,136.0,0.0
836,63,136.0,0.0
838,63,90.0,0.375
840,63,134.0,0.08974358974358974
842,63,140.0,0.25
844,63,59.0,0.13636363636363635
846,63,69.0,0.0
848,63,7.0,0.0
850,63,136.0,0.0
852,63,140.0,0.25
854,63,45.0,0.0
856,63,112.0,0.4
858,63,113.0,0.13636363636363635
860,63,75.0,0.0
862,63,83.0,0.8
864,63,62.0,0.0
866,63,69.0,0.0
868,63,71.0,0.375
870,63,76.0,0.0
872,63,41.0,0.0
874,63,31.0,0.375
876,63,118.0,0.2
878,63,31.0,0.0
880,63,73.0,0.06818181818181818
882,63,51.0,0.0
884,63,57.0,-0.04375000000000001
886,63,36.0,0.24318181818181817
888,63,57.0,0.13636363636363635
890,63,41.0,0.7
892,63,140.0,-0.07692307692307693
894,63,136.0,0.0
896,63,140.0,0.0
898,63,136.0,0.0
900,63,136.0,0.0
902,63,140.0,0.25
904,63,46.0,-0.2916666666666667
906,63,57.0,0.0
908,63,78.0,0.0
910,63,104.0,-0.1
912,63,81.0,0.0
914,63,140.0,0.0
916,63,55.0,0.05
918,63,112.0,0.7166666666666667
920,63,140.0,0.0
922,63,48.0,0.4
924,63,69.0,0.20000000000000004
926,63,140.0,0.15000000000000002
928,63,58.0,0.0
930,63,54.0,0.0
932,63,136.0,0.0
934,63,136.0,0.0
936,63,44.0,-0.17692307692307696
938,63,58.0,0.025
940,63,136.0,0.0
942,63,136.0,0.0
944,63,57.0,0.2
946,63,114.0,0.0
948,63,63.0,0.2857142857142857
950,63,109.0,0.39
952,63,77.0,0.2391826923076923
954,63,22.0,0.0
956,63,91.0,0.0
958,63,34.0,0.0
960,63,7.0,0.0
962,63,99.0,0.0
964,63,140.0,0.5
966,63,75.0,0.13636363636363635
968,63,86.0,0.0
970,63,80.0,0.5
972,63,140.0,0.4833333333333334
974,63,72.0,0.8
976,63,60.0,0.0
978,63,135.0,0.2452991452991453
980,63,70.0,0.0
982,63,36.0,0.0
984,63,140.0,0.25
986,63,48.0,0.6
988,63,31.0,0.0
990,63,55.0,0.0
992,63,140.0,0.25
994,63,7.0,0.0
996,63,69.0,0.4
998,63,136.0,0.0
1000,63,46.0,0.4000000000000001
1002,63,62.0,-0.4
1004,63,39.0,0.6000000000000001
1006,63,65.0,1.0
1008,63,140.0,0.0
1010,63,140.0,0.13636363636363635
1012,63,136.0,0.0
1014,63,40.0,0.0
1016,63,140.0,0.3520833333333333
1018,63,93.0,0.08974358974358974
1020,63,139.0,0.0
1022,63,139.0,0.1638986013986014
1024,63,86.0,0.0
1026,63,61.0,0.1
1028,63,61.0,0.13636363636363635
1030,63,136.0,0.0
1032,63,136.0,0.0
1034,63,136.0,0.0
1036,63,27.0,-0.15555555555555559
1038,63,127.0,0.20833333333333331
1040,63,140.0,0.029166666666666646
1042,63,77.0,-0.23076923076923078
1044,63,68.0,0.0
1046,63,118.0,0.3181818181818182
1048,63,121.0,0.0
1050,63,50.0,0.0
1052,63,96.0,0.0
1054,63,19.0,0.0
1056,63,144.0,0.25
1058,63,89.0,0.0
