,Time,Length,Sentiment
0,49,106.0,-0.23076923076923078
2,49,106.0,-0.23076923076923078
4,49,106.0,-0.23076923076923078
6,49,106.0,-0.23076923076923078
8,49,53.0,0.0
10,49,106.0,-0.23076923076923078
12,49,106.0,-0.23076923076923078
14,49,43.0,0.375
16,49,129.0,0.3642857142857143
18,49,140.0,0.575
20,49,27.0,0.0
22,50,83.0,0.3333333333333333
24,50,67.0,0.1346153846153846
26,50,98.0,0.13636363636363635
28,50,88.0,0.0
30,50,66.0,0.1346153846153846
32,50,26.0,0.1346153846153846
34,50,46.0,0.0
36,50,45.0,0.0
38,50,140.0,-0.375
40,51,63.0,-0.28205128205128205
42,51,93.0,0.0
44,51,49.0,0.0
46,51,43.0,0.13636363636363635
48,51,93.0,-1.0
50,51,61.0,0.5
52,51,140.0,0.0
54,51,5.0,0.0
56,51,82.0,0.3
58,51,140.0,0.12111888111888111
59,52,42.0,0.2
61,52,7.0,0.0
63,52,53.0,0.0
65,52,94.0,0.011111111111111118
67,52,137.0,0.0
69,52,82.0,0.0
71,52,16.0,0.0
73,52,46.0,0.0
75,52,100.0,-0.3102564102564102
77,53,69.0,0.0
79,53,136.0,0.8
81,53,63.0,-0.03205128205128206
83,53,85.0,0.0
85,53,139.0,0.0
87,53,133.0,0.5
89,53,47.0,0.2
91,53,94.0,0.011111111111111118
93,53,56.0,0.2
95,53,75.0,0.4
97,54,140.0,0.0
99,54,52.0,0.1
101,54,32.0,-0.16666666666666666
103,54,140.0,0.2
105,54,139.0,0.0
107,54,64.0,0.2
109,54,121.0,0.13636363636363635
111,54,139.0,0.1
113,54,45.0,0.0
115,54,36.0,0.0
117,54,64.0,-0.11538461538461539
119,55,94.0,0.07500000000000001
121,55,140.0,0.1346153846153846
123,55,134.0,0.3181818181818182
125,55,27.0,0.1346153846153846
127,55,139.0,0.36742424242424243
129,55,85.0,0.0
131,55,106.0,0.0
133,55,84.0,0.13636363636363635
135,55,31.0,0.0
137,55,127.0,0.4681818181818182
139,55,43.0,0.5
141,55,46.0,0.0
143,55,82.0,0.0
145,55,25.0,0.0
147,55,136.0,-0.0011655011655011722
149,55,137.0,0.0
151,55,67.0,0.0
153,55,23.0,0.1346153846153846
155,55,106.0,0.0
157,56,37.0,0.12307692307692307
159,56,33.0,0.0
161,56,35.0,0.0
163,56,33.0,0.0
165,56,26.0,0.8
167,56,105.0,0.13636363636363635
169,56,44.0,0.0
171,56,47.0,0.7
173,56,33.0,0.0
175,56,33.0,0.0
177,56,23.0,0.0
179,56,33.0,0.0
181,57,33.0,0.0
183,57,79.0,0.0
185,57,139.0,0.13636363636363635
187,57,19.0,0.0
189,57,33.0,0.0
191,57,33.0,0.0
193,57,32.0,0.0
195,57,140.0,0.006410256410256406
197,57,57.0,0.13636363636363635
199,57,33.0,0.0
201,57,33.0,0.0
203,57,81.0,0.13636363636363635
205,57,62.0,0.13636363636363635
207,57,40.0,0.0
209,58,138.0,-0.18181818181818182
211,58,53.0,0.2
213,58,88.0,-0.2
215,58,35.0,0.0
217,58,18.0,0.2
219,58,140.0,0.0
221,58,14.0,0.0
223,58,46.0,0.13636363636363635
225,58,135.0,0.0
227,58,18.0,0.0
229,58,87.0,0.0
231,58,74.0,0.0
233,58,94.0,0.0
235,58,12.0,0.0
237,58,12.0,0.0
239,58,22.0,0.0
241,58,136.0,0.0
243,58,55.0,0.0
245,58,135.0,0.2
247,58,105.0,-0.6
249,59,57.0,0.0
251,59,12.0,0.0
253,59,43.0,0.0
255,59,19.0,0.0
257,59,7.0,0.0
259,59,13.0,0.0
261,59,137.0,0.1346153846153846
263,59,17.0,0.0
265,59,18.0,0.0
267,59,22.0,0.5
269,59,73.0,-0.047202797202797214
271,59,50.0,0.13636363636363635
273,59,59.0,0.2
275,59,42.0,0.0
277,59,16.0,0.0
279,59,18.0,0.0
281,59,28.0,0.0
283,59,7.0,0.0
285,59,16.0,0.0
287,59,25.0,0.0
289,59,31.0,0.0
291,59,35.0,0.5875
293,59,27.0,0.0
295,59,70.0,0.5
297,59,38.0,0.0
299,59,17.0,0.0
301,59,63.0,0.0
303,59,16.0,0.0
305,59,21.0,0.0
307,59,44.0,0.44999999999999996
309,59,32.0,0.0
311,59,60.0,0.0
313,59,115.0,0.15641025641025638
315,59,28.0,0.0
317,60,22.0,0.0
319,60,137.0,0.06818181818181818
321,60,49.0,0.0
323,60,108.0,-0.009595959595959616
325,60,140.0,0.0
327,60,28.0,0.0
329,60,21.0,0.0
331,60,23.0,0.13636363636363635
333,60,40.0,0.0
335,60,78.0,-0.23076923076923078
337,60,62.0,-0.23076923076923078
339,60,21.0,0.0
341,60,7.0,0.0
343,60,7.0,0.0
345,60,139.0,0.06818181818181818
347,60,42.0,-0.23076923076923078
349,60,136.0,0.0
351,60,7.0,0.0
353,60,28.0,0.0
355,60,27.0,0.0
357,60,16.0,0.0
359,60,140.0,0.0
361,60,20.0,0.0
363,60,16.0,0.0
365,60,7.0,0.0
367,60,7.0,0.0
369,60,140.0,0.0
371,60,140.0,0.0
373,60,18.0,0.0
375,60,42.0,0.0
377,60,30.0,0.5
379,60,19.0,0.0
381,60,48.0,0.0
383,60,14.0,0.0
385,60,37.0,0.0
387,60,16.0,0.0
389,60,82.0,0.0
391,60,45.0,0.0
393,60,23.0,0.0
395,60,98.0,0.42857142857142855
397,60,21.0,0.0
399,60,17.0,0.0
401,60,28.0,0.0
403,60,144.0,0.18333333333333335
405,60,27.0,0.0
407,60,45.0,0.0
409,60,21.0,0.0
411,60,14.0,0.0
413,60,12.0,0.0
415,60,137.0,0.7
417,60,125.0,0.13636363636363635
419,60,7.0,0.0
421,60,14.0,0.0
423,60,21.0,0.0
425,60,137.0,0.07564102564102565
427,60,94.0,0.13636363636363635
429,60,140.0,0.0
431,60,35.0,0.0
433,60,42.0,0.0
435,60,38.0,0.2
437,60,7.0,0.0
439,60,140.0,0.0
441,60,16.0,0.0
443,60,7.0,0.0
445,60,40.0,-0.1931623931623932
447,60,32.0,0.0
449,60,35.0,0.0
451,60,107.0,0.0
453,60,51.0,0.0
455,60,26.0,0.0
457,60,17.0,0.0
459,60,52.0,0.0
461,60,7.0,0.0
463,60,23.0,0.0
465,60,32.0,0.16818181818181818
467,60,53.0,0.0
469,60,7.0,0.0
471,60,53.0,0.0
473,60,140.0,0.25
475,60,82.0,0.13636363636363635
477,60,19.0,0.0
479,60,19.0,0.0
481,60,50.0,0.08974358974358974
483,60,49.0,0.2
485,60,32.0,0.0
487,60,66.0,0.0
489,60,22.0,0.0
491,60,101.0,0.0
493,60,12.0,0.0
495,60,121.0,0.0
497,60,63.0,-0.2
499,60,77.0,-0.12051282051282053
501,60,34.0,0.13636363636363635
503,60,15.0,0.0
505,60,31.0,0.0
507,60,33.0,0.0
509,60,32.0,0.0
511,60,15.0,0.0
513,60,18.0,0.0
515,60,27.0,0.0
517,60,19.0,0.375
519,60,13.0,0.0
521,60,26.0,0.0
523,60,28.0,0.0
525,60,53.0,0.25
527,60,35.0,0.0
529,60,74.0,0.0
531,60,13.0,0.0
533,60,23.0,0.0
535,60,7.0,0.0
537,60,17.0,0.0
539,60,25.0,0.0
541,60,37.0,0.0
543,60,34.0,0.0
545,60,7.0,0.0
547,60,41.0,0.0
549,60,27.0,0.0
551,60,64.0,0.0
553,60,31.0,0.0
555,60,16.0,0.0
557,60,139.0,0.5
559,60,31.0,0.0
561,60,38.0,0.7
563,60,7.0,0.0
565,60,11.0,0.0
567,61,44.0,0.0
569,61,140.0,0.0
571,61,72.0,-0.3
573,61,17.0,0.0
575,61,28.0,0.0
577,61,5.0,0.0
579,61,18.0,0.0
581,61,16.0,0.0
583,61,37.0,0.16818181818181818
585,61,16.0,0.0
587,61,22.0,0.0
589,61,59.0,0.2548076923076923
591,61,131.0,0.16666666666666666
593,61,51.0,0.0
595,61,15.0,0.0
597,61,39.0,0.0
599,61,25.0,0.0
601,61,7.0,0.0
603,61,16.0,0.0
605,61,12.0,0.0
607,61,21.0,0.0
609,61,37.0,0.0
611,61,49.0,-0.23076923076923078
613,61,34.0,0.1346153846153846
615,61,22.0,0.0
617,61,17.0,0.2
619,61,13.0,0.0
621,61,102.0,0.0
623,61,115.0,0.8
625,61,7.0,0.0
627,61,18.0,0.2
629,61,51.0,0.0
631,61,10.0,0.0
633,61,12.0,0.0
635,61,31.0,0.0
637,61,19.0,0.0
639,61,96.0,-0.23076923076923078
641,61,42.0,0.1
643,61,7.0,0.0
645,61,103.0,-0.3
647,61,23.0,0.0
649,61,67.0,0.0
651,61,16.0,0.0
653,61,36.0,0.0
655,61,97.0,-0.23076923076923078
657,61,16.0,0.0
659,61,129.0,0.0
661,61,45.0,0.0
663,61,75.0,0.55
665,61,7.0,0.0
667,61,50.0,0.0
669,61,57.0,0.3
671,61,17.0,0.2
673,61,21.0,0.0
675,61,45.0,0.2
677,61,31.0,0.0
679,61,140.0,0.05384615384615384
681,61,24.0,0.0
683,61,47.0,0.0
685,61,24.0,0.0
687,61,29.0,0.0
689,61,42.0,0.13636363636363635
691,61,62.0,0.0
693,61,12.0,0.2857142857142857
695,61,16.0,0.0
697,61,24.0,0.0
699,61,112.0,0.13873626373626374
701,61,38.0,0.0
703,61,20.0,0.0
705,61,16.0,0.0
707,61,32.0,0.0
709,61,7.0,0.0
711,61,66.0,0.13636363636363635
713,61,107.0,-0.015384615384615385
715,61,140.0,0.3121212121212121
717,61,121.0,0.13333333333333333
719,61,29.0,0.0
721,61,22.0,0.0
723,61,31.0,0.0
725,61,39.0,0.0
727,61,20.0,0.0
729,61,7.0,0.0
731,61,22.0,0.0
733,61,56.0,0.13636363636363635
735,61,7.0,0.0
737,61,12.0,0.0
739,61,65.0,0.0
741,61,22.0,0.5
743,61,37.0,0.13636363636363635
745,61,12.0,0.0
747,61,140.0,0.25
749,61,45.0,0.0
751,61,74.0,0.6
753,61,43.0,0.375
755,61,7.0,0.0
757,61,9.0,0.0
759,61,52.0,0.0
761,61,98.0,-0.25
763,61,7.0,0.0
765,61,16.0,0.0
767,61,49.0,0.0
769,61,20.0,0.0
771,62,19.0,0.0
773,62,39.0,0.0
775,62,38.0,0.2857142857142857
777,62,34.0,0.0
779,62,105.0,0.06818181818181818
781,62,22.0,0.0
783,62,63.0,-0.5
785,62,33.0,0.35
787,62,42.0,0.5
789,62,50.0,0.08974358974358974
791,62,50.0,0.0
793,62,101.0,0.0675213675213675
795,62,90.0,0.16666666666666666
